Группа тем;Текст инцидента;Тема
Государственная собственность;'Сообщение без текста;Региональное имущество
ЖКХ;для дома не делали! Зимой дорогу от снега расчистят один раз - это уже хорошо. Крыша была у нас в аварийном состоянии, благодаря УК «Урал-Сервис» у нас теперь целая крыша и мы спокойно можем встречать дождливую осень!У нас заросли во дворе, кронирование деревьев производилось лишь на бумагах, а на деле у нас уже образовался;Жалобы на управляющие компании
Благоустройство;"имеющегося забора и начал возводить защитногое ограждение над тротуаром по Пушкарской.Кроме того, что на лицо явный захват территории общественного тротуара, эти долбоюноши ещё и делают крайне узкий переход, в который с трудом сможет влезть только один пешеход. Длинна тротуара более 100 метров, и это ЕДИНСТВЕННЫЙ тротуар для прохода пешеходов на Пушкарской. ""Садовый"" очень плотно населенный район, народу тут ходит много.Ну и как пешеходы должны расходится друг с другом в этом узком и длинном переходе??? Особенно тяжело будет мамам с колясками, бабушкам и дедушка.[id628987039|Алексей Дёмкин] прошу обеспечить НОРМАЛЬНЫЙ проход граждан";Самовольная установка ограждений на территории общего пользования
Общественный транспорт;говорила громко ещё и на эмоциях.;Некорректное поведение водительского состава
Строительство и архитектура;'Детскую больницу сделайте,;Строительство социальных объектов
Мобилизация;моему мужу мобилизованому не переводят 100000 тысяч;Зарплата, компенсации, поощрения, выплаты
Здравоохранение/Медицина;с температурой я простояла( т. к сидеть было негде) почти 7 часов;Очередь
Мусор/Свалки/ТКО;для тсж ?;Раздельная сортировка отходов
Благоустройство;двор), спуск/подъем для колясок между 6-7;Благоустройство придомовых территорий
Коронавирус;Лайт в Пермском;Доступность вакцин
Социальное обслуживание и защита;подать и какие;Оказание гос. соц. помощи
Здравоохранение/Медицина;аптеках будет Эутирокс;Отсутствие лекарств в аптеках
Дороги;никогда там разъезжаться не;Пробки
Благоустройство;"ФОКи, школы высотным жульём. они начали строить очередной ""человейник"" на Уинской 2. Застройщик отступил расстояние от уже имеющегося забора и начал возводить защитногое ограждение над тротуаром по Пушкарской.Кроме того, что на лицо явный захват территории общественного тротуара, эти долбоюноши ещё и делают крайне узкий переход, в который с трудом сможет влезть только один пешеход. Длинна тротуара более 100 метров, и это ЕДИНСТВЕННЫЙ тротуар для прохода пешеходов на Пушкарской. ""Садовый"" очень плотно населенный район, народу";Самовольная установка ограждений на территории общего пользования
Дороги;'Ещё и освещения;Организация переходов, светофоров/Изменить организацию движения
ЖКХ;давление менее одной атмосферы,вода идёт ржавая,в новогор от нас поступало очень много жалоб ,чтобы до них дозвониться,нужно не менее 30 минут,писали новогору на сайт претензию,отправили заявку;Низкая температура воды/слабое давление
Памятники и объекты культурного наследия;года начался глобальный ремонт этого памятника. И вот собственно сам вопрос : за лето;Памятники и объекты культурного наследия
Благоустройство;по улице Маяковского от дома 37;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Коронавирус;не отвечает, целый день пыталась дозвониться, но напрасно. Номер телефона 214-00-14.Опять нас обманули.;Проблемы в работе горячих линий
Здравоохранение/Медицина;и причина ротавирусной инфекции. Супчик, кстати протертый для детишек, сколько таких перетерли неизвестно», – пишет;★ Питание в медицинских учреждениях
Погребение и похоронное дело;могил воруют цветы, венки и ограждения! Памятники ломают, вообщем проблема;Погребение и похоронное дело
Торговля;ПРЯМ В ЦЕНТРЕ ?!!ОСТ.АВТОРАДИОРАЗВЕ МОЖНО ТАКИЕ СТАВИТЬ ?!;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Здравоохранение/Медицина;здравоохранения Пермского края], она;Профильный осмотр
Благоустройство;части, где работы проведены в октябре 2021 г., на конец мая 2022 г. на газоне до сих пор не выросла трава. Лучше бы вообще ничего не трогали. На фотографии то, как поступают с деревьями при;Нарушение правил проведения земляных работ
Мусор/Свалки/ТКО;на Волгожонской 14;★ Уборка/Вывоз мусора
Благоустройство;'Срочное! Заранее спасибо!;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
Благоустройство;вокруг фонтана, летят брызги и пообщаться на личные темы невозможно. Стадность какая-то... Кто и;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
ЖКХ;помыть такие же становятся, запах на них какое-то время;Плохое качество воды
Дороги;не по дорогам бежала.;Ливневые канализации (строительство и реконструкция)
"МФЦ ""Мои документы""";с 10.30 до 16.50 просидела. 16-го списали с больничного, до сих пор не отображается больничный;Государственные услуги
ЖКХ;15 минут, почистят - два, три дня нормально,;★ Засор в общедомовой системе водоотведения (канализации)
Благоустройство;заросли борщевика ростом выше человеческого;Борщевик Сосновского
Дороги;Налимиха, левое поле, самая ближайшая остановка общественного транспорта Лыжная база, где проходит 65 автобус, 1,5км, чтобы дойти до неё, нужно идти по проезжей части, потому что тротуар сделан не везде, и ещё вечером нет освещения, так и возможность попасть под колёса проезжающего транспорта велика. Есть возможность ездить на автобусе 102,сообщением Ласьва-Пермь, но у магазина;Содержание, ремонт и обустройство тротуаров
Общественный транспорт;под дождём, жариться;Содержание остановок
Социальное обслуживание и защита;инвалиды новогодние подарки или приглашения на ёлку в;Инвалиды
ЖКХ;что у нас;★ Протечки с кровли (системы водостока)
Электроснабжение;главное причину и КАК ЭТО БЫЛО;Качество электроснабжения
Дороги;ул.Ординская (конкретная дата)?;Строительство или реконструкция дорог
Здравоохранение/Медицина;в ТЦ Метро, но её закрыли. Теперь за любым лекарством необходимо;Отсутствие аптек
Строительство и архитектура;же ломали гаражи на Жарова, после чего заставили собственников снести оставшиеся гаражи.> Гаражи находятся в частной собственности, администрация к ним никакого отношения не имеет. Обеспечение сохранности имущества - задача собственников. Если вам нанесен ущерб;Состояние зданий учреждений и организаций
Благоустройство;нового заводского дома;Благоустройство придомовых территорий
Здравоохранение/Медицина;края], добрый день. Появилась информация что в Верхнечусовских городках кабинет Флюорографии не будет работать до 5 февраля.Почему так произошло?;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Дороги;,, зебру,, обновляли. Погода хорошая стояла, можно было;★ Некачественно нанесенная разметка на проезжей части
Благоустройство;'Доброе утро! Работы выполнены?;★ Подтопление территории
