Группа тем;Текст инцидента;Тема
Экология;городе сегодня;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Дороги;Балахнина от Чапаева до Шмидта;Нарушение технологии и (или) сроков производства работ
Здравоохранение/Медицина;если переболел короновирусом, а в больницу не;Диспансеризация
Дороги;"мост через реку Косьву??И когда сделают дорогу в объезд на ""Кировский""???Дачный сезон в самом разгаре, а скоро";Ремонт/строительство мостов
Образование;страница], зато дети в 11 школе сидят;Проблемы с отоплением детских садов и школ
Коронавирус;с вопросом об уточнении даты и где всегда отвечали мне ждите, не смотрев даже в журнал записи. Так же сегодня был удивлен, что одного мужчину с аналогичным диагнозом, который сдал направление 30.12.21 уже записан на КТ. Прошу помочь в решении проблемы, т.к.;Жалобы на врачей
Образование;контакты территориального отдела образования Мотовилихинского района кто за это отвечает - ФИО, электронную почту;Образовательный процесс
Здравоохранение/Медицина;нам сказал, что вакцина закончилась!И что нам теперь делать? Каждый год колоть ребёнка не вакцина;Отсутствие лекарств в стационарах
Дороги;данном пешеходном переходе убрали дорожный знак ⚠️, а созданный для знака островок безопасности теперь не видно! Водители раньше;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Дороги;парка разберут Мост реконструировали, детский парк обустраивали а вот;Необходима установка и замена дорожных ограждений
Социальное обслуживание и защита;29 когда будут сносить дом?;Аварийное жилье/переселение
ЖКХ;"рассказали, что по ночам неизвестные ломают лифты, мусорят, разрушают почтовые ящики, а также спят бомжи. ""Жутко заходить в";Ненадлежащая уборка подъездов и лифтов
"МФЦ ""Мои документы""";день, подскажите пожалуйста, для получения топографической;Государственные услуги
Мусор/Свалки/ТКО;других городах по кладбищу ходишь, как по музею под открытым небом. Кто-то ведь должен следить за порядком.;★ Стихийные свалки в городе/в парках/в лесу
Благоустройство;'Центр города Петропавловская, 97, какие цветы 🤦‍♀ даже;Отсутствие детских площадок
Строительство и архитектура;Березниках бы ещё проинспектировать строительство;Строительство социальных объектов
Коронавирус;прививку подростку, где можно изучить сведения, статистику;Порядок и пункты вакцинации
Общественный транспорт;маршрут 33, утром он идёт не по;График движения общественного транспорта
Коронавирус;на дом и никто не пришёл, позвонила сегодня сказали что к вам приходил, но вы не открыли🤷‍♀️хотя целый день с восьми утра до пол двенацетого ночи;Жалобы на врачей
Образование;"опыт и заслуги в сфере образования как преподавателем, так и мастером произв. обучения.Хотел бы выразить негодование по обстоятельствам, по мне так уже систематического характера, к лицам, которые имеют и имели всегда большое значение в воспитании и формировании психологического климата учащихся. Если кто не понял, то это ""камень в огород"" СОЦИАЛЬНОГО ПЕДАГОГА и ПСИХОЛОГА. На протяжении последних двух лет у меня закрались сомнения и уже укрепились со временем представления в компетенции данных людей и отвечают ли они требованиям описанных в должностных инструкциях. Под большим вопросом, и я думаю, под этим подпишутся многие родители своих чад, ставлю их профпригодность на данных должностях и не только.Прошу разобраться администрации школы и не закапываться как ""страусы"" в песок, будто это не про Вас и всё это наговоры, в данном вопросе, вспомнив что такое ""ЗУН"" и применить их в своей деятельности, а также присмотреться и по возможности принять";Безопасность образовательного процесса
Здравоохранение/Медицина;откроется стоматологический кабинет? Нытвенский гор округ.п. Новоильинский. Почему мы должны ездить;Нехватка или сокращение врачей и медицинских учреждений
Общественный транспорт;остановочный комплекс,крыша протекает;Содержание остановок
Здравоохранение/Медицина;летний сын от онкологии, которую диагносцировали только посмертно, не смотря на то, что он медицинский работник, проходил ежегодные медосмотры, плюс м/о как донор , обращался с жалобами к врачам.. Но ни на его жалобы, ни на мою анкету никто не обратил никакого внимания. Очень бы хотелось верить, что у нас в крае всё;Диспансеризация
Социальное обслуживание и защита;имеет ли право получить скидку по платежам за капремонт;Создание доступной среды для инвалидов
