Группа тем;Текст инцидента;Тема
Безопасность;у Вас информация;Беженцы
Здравоохранение/Медицина;Дозвониться в неотложку не могла сутки, затем позвонила в скорую помощь, там вызов приняли и сказали что передадут в неотложку, не дождавшись неотложки 30.01. Пошла в поликлинику (Липатова 19 ,Кировский район) самостоятельно, просидев 3 часа в очереди я попала на приём. Вопрос заключается вот в чём... Почему врач Шилова не выдала мне бесплатные лекарственные средства??? Спросив меня чем лечусь она сказала, что этого достаточно. Выписала больничный лист;Льготные лекарства
Дороги;власти района, города? Или что бы начать что то делать нам нужна «Хромая лошадь» ? Да конечно потом председателя ТСЖ этой пятиэтажки вместе с директором их управляющей компании посадят, наведут шума, а как быть детям чьи отцы матери погибнут на пожаре, им легче станет от того что эти граждане будут сидеть 5-6 лет? О детской площадке беспокоитесь, посмотрела кадастровую карту, у вашего дома земли куча с другой стороны дома делайте там детскую площадку откройте проезд по дороге!!! Я понимаю это Ваша земля, но там дорога, если сейчас каждый, кто собственник кусочка улицы в городе будет ее перекрывать это что будет? Вы до какой степени обнаглели!!! Власти города обратите внимание;Организация переходов, светофоров/Изменить организацию движения
Здравоохранение/Медицина;на Вышке 2.;Предложения по созданию лечебных центров
ЖКХ;стена которая обрушается и пошло это все из за дырявой;Некачественный капитальный ремонт
Дороги;в виду улица Гайвинская, на которой расположено множество пешеходных переходов). Просьба отрегулировать автоматику, чтобы не подвергать опасности;Освещение неисправно или отсутствует
Безопасность;помощи беженцам Украины. Есть;Беженцы
Экономика и бизнес;'Сообщение без текста;Цены и ценообразование
Коронавирус;на горячую линию Минздрава Пермского края;Проблемы в работе горячих линий
Мусор/Свалки/ТКО;У нас висит почтовый ящик возле;Плата за вывоз ТКО
ЖКХ;'Добрый вечер, Мы живём в ужасных условиях. Инженерная 10. Зий подъезд. Больше 6 месяцев течёт канализационные;★ Затопление подъездов, подвальных помещений
Здравоохранение/Медицина;она мне ближе)г.;Диспансеризация
Образование;'Здравствуйте!а будет карантин в;Дистанционное образование
Безопасность;поиграла пусть там что хотят;Отлов безнадзорных собак и кошек
Здравоохранение/Медицина;третьи сутки ждём;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Физическая культура и спорт;комментариях, что опубликуете на сайте список школ вошедших в число по благоустройству спортивных площадок. Уже;Строительство спортивной инфраструктуры
Культура;Никто ничего делать;Учреждения культуры
Дороги;'Доброе утро, уважаемая Администрация, когда уберут уже эту кучу снега?;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Связь и телевидение;А в комментариях позволены оскорбительные;★ Информационно-техническая поддержка
Благоустройство;районе остановки Астраханской;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
Здравоохранение/Медицина;дня,отказываются идти домой, температура 39,лечится ,чем сами себе назначайте,или как хотите можете придти на прием, принимают два кабинета на всю поликлинику, ясно что дома то по стенке ходишь.,не выдержишь;Технические проблемы с записью на прием к врачу
Здравоохранение/Медицина;"что я думаю, о том что пойду жаловаться дальше. На мои высказывания ответ был такой: ""Да Я таких Козлов по поводу жалоб , знаете сколько видел?!"" Честно, у меня пропал дар речи🤦🤦Я вышла из кабинета со";Хамство медицинских работников
Дороги;'Доброе утро. ПЛАТНАЯ парковка на Тополевом переулке (центр города) до сих пор под;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Социальное обслуживание и защита;, какие нужны документы чтобы оформить опекунство над человеком у;Инвалиды
Физическая культура и спорт;планировке скейт парка;Строительство спортивной инфраструктуры
Благоустройство;можно ещё послать?;Вырубка деревьев, кустарников
Мусор/Свалки/ТКО;по адресу Циолковского 14 постоянно образуется мусорка, дом под снос когда УК компания приведёт;★ Уборка/Вывоз мусора
Здравоохранение/Медицина;8 и получить;Профильный осмотр
