Группа тем;Текст инцидента;Тема
Благоустройство;говорить спасибо не нужно. Уборку канавы так и не сделали. Уже 28 число.;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Строительство и архитектура;нас на поселке углеуральском на ул Серова;Строительство зданий
ЖКХ;короба светят и днем и ночью нам в окно, сотрудники курят на крыльце и нам тянет в окно, сейчас мы начали ремонт и после демонтажа обоев обнаружили;Перепланировка и реконструкция помещений
Благоустройство;ЛОГА, никому не надо , нет у дома детской площадки, в 17 доме есть, они наших детей не пускают! А зачем делать почти у ЛОГА, надо в;Отсутствие детских площадок
Благоустройство;так же осталось и Вы не приняли никаких мер и не решили проблему.;★ Подтопление территории
Здравоохранение/Медицина;здорово. Возьмите на заметку, дорогие депутаты...;Социальная поддержка медперсонала
Здравоохранение/Медицина;Перми, раз такое различие огромное в питании. А тараканы нам;★ Питание в медицинских учреждениях
Благоустройство;'А туалеты городские власти не пробовали ставить?! Проблема не в том, что не туда ходят по нужде, проблема в том что;Отсутствие общественных туалетов
Здравоохранение/Медицина;день. В березниках работает травматология;Предложения по созданию лечебных центров
Социальное обслуживание и защита;кто относиться к одиноким пенсионерам?;Пенсионеры и ветераны
Электроснабжение;'Здравствуйте, куда обратиться по поводу света?;Качество электроснабжения
Дороги;колеса пешеходы бросаются , которые вышли;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Дороги;'Ужасно, будем ломать машины и ноги!;Строительство или реконструкция дорог
Благоустройство;разу за зимний период не убирали снег, даже мусоровоз к дому не может подъехать, собственник и сами с ломиками.и лопатами огребают, чтобы встать , а потом выехать#, ещё арендаторы цокольного этажа, работники Пермэнерго, детсада успевают занимать;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
ЖКХ;Моей маме 70 летЯ иногда оплачиваю коммунальные услуги. В последнее время, какая-то неразбериха. Кто управляет домом. Героев Хасана. 159.Пришли платёжки. С двух компаний.Мы данные подавали и платили в Домовой Совет.Теперь пришла платёжка с большим долгом от ПрофКома.....;Жалобы на управляющие компании
Мусор/Свалки/ТКО;на ул Чердынской,д 38а в;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Образование;'Здравствуйте,как найти, куда мне написать жалобу на;Образовательный процесс
Социальное обслуживание и защита;ВСТАВАТЬ НА УЧЕТ ЧЕРЕЗ ГОС УСЛУГИ ЧЕРЕЗ ГОС УСЛУГИ 8 РАЗ СОСТАВЛЯЛ РЕЗЮМЕ И КАК ВСЕГДА РЕЗЮМЕ НЕ ПРОХОДИТ МОДЕРАЦИЮ МНЕ 50 ЛЕТ ПЕНСИИ;Занятость и трудоустройство
Благоустройство;его будет смывать на плитку. В засуху полетит пыль.Дорожки между высоченными бордюрами очень узкие. Смотрится так себе, чистить не удобно, во время;Предложение по благоустройству
Благоустройство;дома Мира 44 невозможно припарковаться!!!VID_20220601_182024.mp4;★ Парковка на газонах
Здравоохранение/Медицина;провести проверку и дать ответ. Уверен что там не всё;Нехватка материально-технического обеспечения
Благоустройство;Закамск, или здесь не люди;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Культура;были,там много дыр ужасный каток и очереди;Культурно-досуговые мероприятия
Здравоохранение/Медицина;нужных лекарств, а некоторых ни;Отсутствие лекарств в стационарах
Безопасность;. разберитесь с бомбёжкой гаражей в;Безопасность общественных пространств
